time,ref,sensor
8.513125,-0.078270588,-0.074673731
8.51375,-0.078358482,-0.075040725
8.514375,-0.078450843,-0.075458635
8.515,-0.078571459,-0.075933696
8.515625,-0.0787442,-0.076465677
8.51625,-0.078988406,-0.077046278
8.516875,-0.079313047,-0.077660271
8.5175,-0.079716453,-0.07828601
8.518125,-0.080180607,-0.078897809
8.51875,-0.080673874,-0.079469162
8.519375,-0.081158244,-0.079976007
8.52,-0.081590747,-0.080399612
8.520625,-0.08193146,-0.080728296
8.52125,-0.082148684,-0.080958134
8.521875,-0.082224004,-0.081092288
8.5225,-0.082153567,-0.08113932
8.523125,-0.081947243,-0.081110531
8.52375,-0.081626051,-0.081017522
8.524375,-0.08121767,-0.080870055
8.525,-0.080748633,-0.080674496
8.525625,-0.080243364,-0.080433668
8.52625,-0.079718601,-0.080148001
8.526875,-0.07917928,-0.079817194
8.5275,-0.078624567,-0.079442547
8.528125,-0.078049518,-0.079028828
8.52875,-0.077448038,-0.078585748
8.529375,-0.076817711,-0.078128139
8.53,-0.07616416,-0.077674791
8.530625,-0.0755006,-0.077246175
8.53125,-0.074847956,-0.07686194
8.531875,-0.074231581,-0.076537719
8.5325,-0.073676631,-0.076282484
8.533125,-0.073202327,-0.076096783
8.53375,-0.072818997,-0.075973369
8.534375,-0.072526372,-0.075898086
8.535,-0.072308304,-0.075852179
8.535625,-0.07213905,-0.075815576
8.53625,-0.071988457,-0.075769871
8.536875,-0.071825088,-0.075700715
8.5375,-0.071622654,-0.075599289
8.538125,-0.071364393,-0.075462203
8.53875,-0.071045107,-0.0752903
8.539375,-0.070670294,-0.075086349
8.54,-0.070252612,-0.074852588
8.540625,-0.069809068,-0.074588334
8.54125,-0.069352539,-0.074288793
8.541875,-0.068888399,-0.073944784
8.5425,-0.068414318,-0.073544264
8.543125,-0.06791534,-0.073074805
8.54375,-0.067366558,-0.072526765
8.544375,-0.066741899,-0.071896227
8.545,-0.066018589,-0.071187602
8.545625,-0.065181862,-0.070414713
8.54625,-0.064233536,-0.069600066
8.546875,-0.063191434,-0.068772742
8.5475,-0.062090483,-0.067964399
8.548125,-0.060978497,-0.06720608
8.54875,-0.059908677,-0.066523381
8.549375,-0.058932283,-0.06593287
8.55,-0.058089465,-0.065440147
8.550625,-0.057406066,-0.065039653
8.55125,-0.056886819,-0.064716277
8.551875,-0.056513617,-0.064447925
8.5525,-0.056252012,-0.064209145
8.553125,-0.056057078,-0.06397499
8.55375,-0.055879088,-0.063724208
8.554375,-0.055672447,-0.063441268
8.555,-0.055401899,-0.063117125
8.555625,-0.055046702,-0.062748994
8.55625,-0.054600733,-0.062338469
8.556875,-0.054071483,-0.061889491
8.5575,-0.053475036,-0.061405838
8.558125,-0.052829862,-0.06089009
8.55875,-0.052153271,-0.060342554
8.559375,-0.051458138,-0.059761493
8.56,-0.050746675,-0.059144417
8.560625,-0.05001263,-0.058489729
8.56125,-0.04924694,-0.057798334
8.561875,-0.048437786,-0.057075274
8.5625,-0.047577786,-0.056330168
8.563125,-0.04666709,-0.055576885
8.56375,-0.045715197,-0.054832105
8.564375,-0.044742627,-0.054112984
8.565,-0.043775917,-0.053435348
8.565625,-0.042847019,-0.052810525
8.56625,-0.041983604,-0.052243375
8.566875,-0.041207638,-0.051731242
8.5675,-0.040531155,-0.051263736
8.568125,-0.039951327,-0.050823957
8.56875,-0.039449873,-0.050390464
8.569375,-0.038997726,-0.049939542
8.57,-0.038558286,-0.049447808
8.570625,-0.038090436,-0.048894407
8.57125,-0.037556516,-0.048262686
8.571875,-0.03692491,-0.047540873
8.5725,-0.036173322,-0.046722461
8.573125,-0.035290208,-0.045805466
8.57375,-0.034274073,-0.044791786
8.574375,-0.033131469,-0.043685528
8.575,-0.031873461,-0.042493118
8.575625,-0.030515394,-0.041222309
8.57625,-0.029074661,-0.039882382
8.576875,-0.027565265,-0.038484551
8.5775,-0.026002588,-0.037042381
8.578125,-0.024402168,-0.035572485
8.57875,-0.022780551,-0.034094394
8.579375,-0.021158243,-0.03263012
8.58,-0.019557571,-0.031203206
8.580625,-0.018004691,-0.029836887
8.58125,-0.016525854,-0.028552026
8.581875,-0.015146475,-0.027365494
8.5825,-0.013887629,-0.026287964
8.583125,-0.012761399,-0.02532254
8.58375,-0.011772072,-0.024464014
8.584375,-0.01091348,-0.023699161
8.585,-0.010168393,-0.023007946
8.585625,-0.009509047,-0.022365506
8.58625,-0.008903556,-0.021744189
8.586875,-0.008316827,-0.021116184
8.5875,-0.007714893,-0.020455392
8.588125,-0.007069867,-0.019739839
8.58875,-0.006359352,-0.018952486
8.589375,-0.005570273,-0.018082307
8.59,-0.004696607,-0.017124379
8.590625,-0.003739665,-0.016079077
8.59125,-0.00270469,-0.014950972
8.591875,-0.001599125,-0.013748296
8.5925,-0.000432247,-0.012481559
8.593125,0.000788481,-0.011162654
8.59375,0.002057926,-0.009803947
8.594375,0.00337161,-0.008417716
8.595,0.004726599,-0.007015151
8.595625,0.006118647,-0.005606592
8.59625,0.007543069,-0.004201098
8.596875,0.008991968,-0.002806109
8.5975,0.010455691,-0.001427317
8.598125,0.011922196,-6.86E-05
8.59875,0.013377474,0.001267482
8.599375,0.01480828,0.002579629
8.6,0.016202882,0.003867453
8.600625,0.017551228,0.005131228
8.60125,0.018845544,0.006371684
8.601875,0.02008317,0.007589924
8.6025,0.021263985,0.008787429
8.603125,0.022390837,0.00996645
8.60375,0.023470558,0.011130499
8.604375,0.024511548,0.012285089
8.605,0.025524948,0.01343761
8.605625,0.026523943,0.014597906
8.60625,0.027523229,0.015777276
8.606875,0.028539645,0.016987989
8.6075,0.029590367,0.018241932
8.608125,0.030692419,0.01954904
8.60875,0.031861197,0.02091572
8.609375,0.033106817,0.02234313
8.61,0.034435181,0.023826552
8.610625,0.035843446,0.025355385
8.61125,0.037321869,0.026913795
8.611875,0.038852471,0.028482542
8.6125,0.040410978,0.030040857
8.613125,0.041969843,0.031568558
8.61375,0.043500121,0.033048664
8.614375,0.044976824,0.034469023
8.615,0.04637927,0.035823622
8.615625,0.047695845,0.037112215
8.61625,0.048923067,0.038339941
8.616875,0.050066793,0.03951567
8.6175,0.051138413,0.040650416
8.618125,0.052153105,0.041755743
8.61875,0.053128018,0.042842636
8.619375,0.054077,0.043920101
8.62,0.055012207,0.044995188
8.620625,0.05594137,0.046073486
8.62125,0.056868833,0.047159683
8.621875,0.057797555,0.04825847
8.6225,0.058730452,0.049375595
8.623125,0.059672638,0.050517319
8.62375,0.060632777,0.051690524
8.624375,0.061622384,0.052901945
8.625,0.062655704,0.054157058
8.625625,0.06374612,0.055458765
8.62625,0.064903714,0.056806906
8.626875,0.066133309,0.058197284
8.6275,0.067430345,0.059622072
8.628125,0.068782154,0.061070604
8.62875,0.070168259,0.062530889
8.629375,0.07156275,0.063990874
8.63,0.072938382,0.065439383
8.630625,0.074270903,0.066867335
8.63125,0.075542158,0.06826805
8.631875,0.076743367,0.069637144
8.6325,0.077875266,0.070971237
8.633125,0.078946765,0.07226712
8.63375,0.079971895,0.073520593
8.634375,0.080965683,0.074725981
8.635,0.081940366,0.075876163
8.635625,0.082900593,0.076963861
8.63625,0.08384195,0.07798318
8.636875,0.084752549,0.078931361
8.6375,0.085614299,0.079811067
8.638125,0.086408241,0.080631838
8.63875,0.08712025,0.081410513
8.639375,0.087744858,0.082170649
8.64,0.088290336,0.082939995
8.640625,0.0887788,0.08374745
8.64125,0.089245321,0.08461912
8.641875,0.089732835,0.08557422
8.6425,0.090285925,0.08662178
8.643125,0.090943961,0.087759118
8.64375,0.091732119,0.088970833
8.644375,0.092657201,0.090230543
8.645,0.093705219,0.091504181
